REGION,year,month,avg_demand,avg_price
NSW1,2010,1,8954.533496973772,50.43528581035645
NSW1,2010,2,9167.571458333334,55.737232142857145
NSW1,2010,3,8712.44442204301,25.85460349462366
NSW1,2010,4,8205.27757638889,24.741555555555557
NSW1,2010,5,8806.570275537635,27.76935483870968
NSW1,2010,6,9542.501715277778,33.28606944444446
NSW1,2010,7,9688.557775537634,27.398608870967742
NSW1,2010,8,9266.0275,34.962184139784945
NSW1,2010,9,8537.421465277777,24.16801388888889
NSW1,2010,10,8201.455692204301,22.651814516129033
NSW1,2010,11,8368.398798611111,23.079597222222223
NSW1,2010,12,8252.406438172044,22.467365591397847
NSW1,2011,1,8826.724831989248,48.348024193548376
NSW1,2011,2,9247.679069940476,136.7876711309523
NSW1,2011,3,8593.00252016129,26.340873655913978
NSW1,2011,4,8189.894923611111,26.424770833333334
NSW1,2011,5,9067.310880376344,29.111021505376346
NSW1,2011,6,9474.452833333333,27.398395833333332
NSW1,2011,7,9558.780497311827,30.630013440860214
NSW1,2011,8,9024.785201612904,30.14877688172043
NSW1,2011,9,8448.048597222221,28.556194444444444
NSW1,2011,10,8141.708629032258,28.525181451612905
NSW1,2011,11,8387.3463125,37.12600694444445
NSW1,2011,12,7816.726155913979,25.784166666666668
NSW1,2012,1,8331.493387096774,25.066955645161286
NSW1,2012,2,8398.848369252873,26.884418103448276
NSW1,2012,3,8091.67750672043,25.463239247311826
NSW1,2012,4,7937.807243055556,33.513819444444444
NSW1,2012,5,8663.915732526882,28.709637096774195
NSW1,2012,6,9148.175006944444,35.998194444444444
NSW1,2012,7,8991.512540322581,66.2239314516129
NSW1,2012,8,8670.964375,57.39581317204301
NSW1,2012,9,7781.196222222223,52.76116666666667
NSW1,2012,10,7570.403830645161,57.06404569892473
NSW1,2012,11,7759.588694444445,56.88310416666667
NSW1,2012,12,7690.8756182795705,49.817466397849465
NSW1,2013,1,8351.604576612903,50.558051075268814
NSW1,2013,2,8157.023236607143,52.12145833333333
NSW1,2013,3,7909.466733870968,52.51055779569892
NSW1,2013,4,7569.158381944444,54.018375
NSW1,2013,5,8088.008172043011,55.0740188172043
NSW1,2013,6,8602.354993055556,56.503729166666666
NSW1,2013,7,8613.243481182795,57.799952956989245
NSW1,2013,8,8191.123978494624,54.278198924731186
NSW1,2013,9,7520.14675,52.70815277777778
NSW1,2013,10,7511.076350806452,51.50559811827957
NSW1,2013,11,7558.783472222222,50.493631944444445
NSW1,2013,12,7702.278555107527,59.03374999999999
NSW1,2014,1,8071.5662163978495,52.11243951612903
NSW1,2014,2,8121.609136904762,50.3186681547619
NSW1,2014,3,7803.086397849463,48.67628360215054
NSW1,2014,4,7473.460951388889,48.61671527777778
NSW1,2014,5,7843.441465053764,51.366236559139786
NSW1,2014,6,8228.064,49.73598611111111
NSW1,2014,7,8668.729892473119,41.234576612903226
NSW1,2014,8,8465.446142473118,36.08487231182796
NSW1,2014,9,7687.395791666667,39.979263888888894
NSW1,2014,10,7433.596330645161,31.60602822580645
NSW1,2014,11,7678.673194444445,33.71499305555555
NSW1,2014,12,7538.827419354839,30.630188172043013
NSW1,2015,1,7057.51,49.08
QLD1,2010,1,6552.278876933423,55.68303295225283
QLD1,2010,2,6534.789598214285,39.412730654761894
QLD1,2010,3,6191.984637096774,24.20244623655914
QLD1,2010,4,5952.732472222222,21.234111111111112
QLD1,2010,5,5811.619307795699,20.965698924731182
QLD1,2010,6,5853.017673611111,22.524361111111112
QLD1,2010,7,5820.684274193549,20.93576612903226
QLD1,2010,8,5767.498454301075,21.240134408602152
QLD1,2010,9,5726.324791666667,21.201194444444447
QLD1,2010,10,5740.577365591398,19.996935483870967
QLD1,2010,11,5876.229611111111,17.645145833333334
QLD1,2010,12,5889.134415322581,22.070793010752688
QLD1,2011,1,6015.393158602151,43.672896505376336
QLD1,2011,2,6400.591428571429,105.67152529761894
QLD1,2011,3,6156.711438172043,27.432143817204302
QLD1,2011,4,5596.2236875,25.027479166666666
QLD1,2011,5,5622.167701612903,27.488360215053763
QLD1,2011,6,5810.654381944444,25.319979166666666
QLD1,2011,7,5758.602137096775,26.456653225806452
QLD1,2011,8,5599.252426075269,28.88369623655914
QLD1,2011,9,5486.505875,28.857451388888887
QLD1,2011,10,5635.241008064516,27.295591397849464
QLD1,2011,11,6124.778555555556,33.55509722222222
QLD1,2011,12,5847.552674731183,25.567950268817203
QLD1,2012,1,6159.469771505376,32.22770833333333
QLD1,2012,2,6316.419590517241,30.046839080459772
QLD1,2012,3,5974.050369623656,27.193084677419353
QLD1,2012,4,5664.9437638888885,29.19334027777778
QLD1,2012,5,5619.806122311828,25.6421438172043
QLD1,2012,6,5708.445055555556,34.28236111111111
QLD1,2012,7,5741.604603494624,63.5535685483871
QLD1,2012,8,5644.760819892474,53.71917338709678
QLD1,2012,9,5515.5844027777775,52.66450694444445
QLD1,2012,10,5585.909845430107,52.50684139784946
QLD1,2012,11,5885.632166666667,54.19588888888889
QLD1,2012,12,6117.515537634408,59.15655241935484
QLD1,2013,1,6281.949697580645,155.89294354838714
QLD1,2013,2,5970.9772470238095,58.854508928571434
QLD1,2013,3,5796.506989247312,73.79790322580646
QLD1,2013,4,5631.4731319444445,55.386875
QLD1,2013,5,5651.528702956989,57.89204301075269
QLD1,2013,6,5646.164847222222,64.43929166666666
QLD1,2013,7,5547.117694892473,60.93432123655914
QLD1,2013,8,5387.372862903226,61.31976478494624
QLD1,2013,9,5417.457951388889,56.0861875
QLD1,2013,10,5591.477748655914,61.358622311827965
QLD1,2013,11,5744.208243055556,54.43686805555556
QLD1,2013,12,5791.241021505376,58.23951612903225
QLD1,2014,1,6067.841344086021,71.1070497311828
QLD1,2014,2,6012.259456845238,77.83220982142858
QLD1,2014,3,5849.942190860215,49.68241935483871
QLD1,2014,4,5596.172680555555,49.23954166666667
QLD1,2014,5,5549.564059139785,51.056747311827955
QLD1,2014,6,5528.205125,50.920402777777774
QLD1,2014,7,5678.6335887096775,32.808716397849466
QLD1,2014,8,5483.178823924732,25.908729838709675
QLD1,2014,9,5362.369076388889,33.78252777777778
QLD1,2014,10,5520.435940860215,23.44073252688172
QLD1,2014,11,6100.334527777778,39.45507638888889
QLD1,2014,12,6212.462782258064,107.27169354838715
QLD1,2015,1,6272.46,47.1
SA1,2010,1,1584.1770813718897,97.41778749159386
SA1,2010,2,1676.7529166666666,132.03951636904765
SA1,2010,3,1499.1479032258064,23.579200268817207
SA1,2010,4,1402.5774305555556,29.55217361111111
SA1,2010,5,1496.394119623656,29.977137096774193
SA1,2010,6,1653.135625,35.41546527777778
SA1,2010,7,1702.7068548387097,29.299005376344084
SA1,2010,8,1649.4790524193547,25.969569892473118
SA1,2010,9,1578.175465277778,25.07589583333333
SA1,2010,10,1397.8586559139785,22.223629032258057
SA1,2010,11,1484.644388888889,22.575944444444445
SA1,2010,12,1452.2264583333333,17.585752688172043
SA1,2011,1,1635.0322849462366,103.09460349462358
SA1,2011,2,1649.6208258928573,30.00947916666667
SA1,2011,3,1465.9777352150538,22.369502688172044
SA1,2011,4,1410.4204722222223,27.262375
SA1,2011,5,1520.7590860215055,33.579852150537626
SA1,2011,6,1575.9984583333332,30.84651388888889
SA1,2011,7,1580.6236021505376,33.1244623655914
SA1,2011,8,1496.5686357526881,34.44217741935484
SA1,2011,9,1407.5783194444443,37.974270833333335
SA1,2011,10,1364.942634408602,40.292715053763445
SA1,2011,11,1424.3409305555556,30.684041666666666
SA1,2011,12,1413.6397782258064,23.767903225806453
SA1,2012,1,1566.0908333333332,25.618051075268816
SA1,2012,2,1582.1977586206897,27.15344827586207
SA1,2012,3,1403.7008534946237,25.73519489247312
SA1,2012,4,1406.6249097222221,29.111138888888895
SA1,2012,5,1511.4390524193548,29.10255376344086
SA1,2012,6,1597.0333541666666,26.171618055555545
SA1,2012,7,1591.3882190860215,79.70647177419356
SA1,2012,8,1523.6173118279569,63.332331989247315
SA1,2012,9,1358.6322291666668,53.81256944444444
SA1,2012,10,1374.556189516129,50.95923387096774
SA1,2012,11,1409.4005208333333,63.76993749999998
SA1,2012,12,1406.3911223118278,54.83896505376344
SA1,2013,1,1564.4959072580646,59.12723118279572
SA1,2013,2,1648.1342782738095,58.52731398809524
SA1,2013,3,1551.9644892473118,57.62117607526883
SA1,2013,4,1335.1573888888888,76.90708333333335
SA1,2013,5,1386.2434072580645,108.76296370967746
SA1,2013,6,1515.0144305555557,109.31243750000002
SA1,2013,7,1500.4797043010753,69.63752016129033
SA1,2013,8,1416.148877688172,71.25495967741935
SA1,2013,9,1259.6390277777778,61.299479166666664
SA1,2013,10,1280.1990927419354,57.443823924731184
SA1,2013,11,1315.8799583333334,49.81545833333333
SA1,2013,12,1357.7564852150538,79.57231854838714
SA1,2014,1,1578.2351008064516,88.86469086021509
SA1,2014,2,1568.2019717261903,57.484434523809526
SA1,2014,3,1342.8046572580645,49.16670698924732
SA1,2014,4,1313.5643125,48.132486111111106
SA1,2014,5,1409.841747311828,51.98371639784946
SA1,2014,6,1461.3893055555557,54.41759722222222
SA1,2014,7,1509.4681317204302,51.78029569892474
SA1,2014,8,1510.7986357526881,41.65078629032258
SA1,2014,9,1287.974951388889,41.067104166666674
SA1,2014,10,1299.126122311828,32.02756720430107
SA1,2014,11,1298.4838680555556,32.7206875
SA1,2014,12,1267.5619086021507,28.622258064516124
SA1,2015,1,1573.62,46.73
TAS1,2010,1,1094.8244653665097,29.236724949562877
TAS1,2010,2,1088.3428348214286,23.96418154761903
TAS1,2010,3,1094.6258938172043,26.197358870967744
TAS1,2010,4,1111.7713263888888,24.422104166666667
TAS1,2010,5,1218.3203427419355,56.97446908602151
TAS1,2010,6,1262.8920416666667,30.881944444444446
TAS1,2010,7,1301.0226075268818,30.203776881720437
TAS1,2010,8,1293.826176075269,64.79618951612905
TAS1,2010,9,1213.1163263888889,20.76696527777778
TAS1,2010,10,1117.5269758064517,18.145262096774193
TAS1,2010,11,1081.9463541666667,27.09272916666667
TAS1,2010,12,1024.5670161290323,16.696875000000002
TAS1,2011,1,1053.5362298387097,25.934852150537633
TAS1,2011,2,1074.0301562500001,28.73155505952381
TAS1,2011,3,1069.2433602150538,25.829375
TAS1,2011,4,1138.2380694444444,26.79684027777778
TAS1,2011,5,1245.387432795699,38.660900537634404
TAS1,2011,6,1273.8798194444444,29.1676875
TAS1,2011,7,1298.9256115591397,32.604569892473116
TAS1,2011,8,1218.8609341397848,27.139522849462367
TAS1,2011,9,1142.469451388889,26.403659722222223
TAS1,2011,10,1111.9955040322582,32.58306451612904
TAS1,2011,11,1065.820701388889,30.747381944444445
TAS1,2011,12,1027.2962836021507,25.82024193548387
TAS1,2012,1,1056.6158602150538,39.32637096774194
TAS1,2012,2,1081.0235201149426,37.367564655172416
TAS1,2012,3,1024.5462836021504,35.94358198924729
TAS1,2012,4,1044.0510486111111,35.95290277777779
TAS1,2012,5,1103.5830376344086,32.9028494623656
TAS1,2012,6,1161.8193194444445,34.426611111111114
TAS1,2012,7,1226.2438911290324,59.2258938172043
TAS1,2012,8,1187.7489650537634,47.22364247311827
TAS1,2012,9,1109.6655347222222,39.470395833333335
TAS1,2012,10,1076.2213642473118,43.60082661290323
TAS1,2012,11,1088.0724097222223,50.580666666666666
TAS1,2012,12,1026.7722043010754,46.70103494623656
TAS1,2013,1,1064.8412432795699,56.96712365591398
TAS1,2013,2,1064.7275148809524,45.79218005952381
TAS1,2013,3,1040.1873252688172,49.805416666666666
TAS1,2013,4,1132.6740972222221,45.125840277777776
TAS1,2013,5,1187.02561827957,44.672540322580645
TAS1,2013,6,1244.7944513888888,49.88199305555554
TAS1,2013,7,1230.7274126344087,51.50281586021505
TAS1,2013,8,1210.6230779569892,45.87527553763441
TAS1,2013,9,1140.1801805555556,42.43029861111113
TAS1,2013,10,1101.6531787634408,38.60913306451613
TAS1,2013,11,1091.9019791666667,47.08160416666665
TAS1,2013,12,1038.5720228494624,37.60333333333336
TAS1,2014,1,1037.162365591398,34.878454301075266
TAS1,2014,2,1033.1845610119049,43.891793154761906
TAS1,2014,3,1061.2318951612904,44.780094086021506
TAS1,2014,4,1111.2520277777778,37.681416666666664
TAS1,2014,5,1169.7090255376345,36.5189314516129
TAS1,2014,6,1233.442847222222,43.15102777777778
TAS1,2014,7,1244.6350268817205,33.841659946236554
TAS1,2014,8,1187.6630510752689,36.32663978494623
TAS1,2014,9,1101.645,37.65926388888889
TAS1,2014,10,1054.9698387096773,34.90590053763438
TAS1,2014,11,1042.9615625,39.928069444444446
TAS1,2014,12,1033.2344825268817,45.263985215053786
TAS1,2015,1,937.18,40.8
VIC1,2010,1,5731.881062542031,60.98033624747813
VIC1,2010,2,6082.013467261904,67.9091369047619
VIC1,2010,3,5766.683971774194,22.85391801075269
VIC1,2010,4,5484.450506944445,71.55356250000001
VIC1,2010,5,5822.736129032258,30.489737903225805
VIC1,2010,6,6248.3973680555555,31.393847222222224
VIC1,2010,7,6327.028951612903,26.653837365591396
VIC1,2010,8,6207.599858870968,27.04853494623656
VIC1,2010,9,5918.364208333333,22.122916666666665
VIC1,2010,10,5550.548971774194,20.819301075268818
VIC1,2010,11,5597.752611111111,18.421354166666667
VIC1,2010,12,5396.757694892473,16.515127688172043
VIC1,2011,1,5677.294637096775,41.05790322580647
VIC1,2011,2,5808.337797619048,40.476346726190485
VIC1,2011,3,5568.744032258064,24.956263440860216
VIC1,2011,4,5415.9172708333335,25.598826388888888
VIC1,2011,5,5927.828655913979,34.346310483870965
VIC1,2011,6,6081.385416666667,27.930562499999997
VIC1,2011,7,6092.165974462366,29.49274865591398
VIC1,2011,8,5900.960241935484,29.946122311827956
VIC1,2011,9,5668.27975,26.980118055555554
VIC1,2011,10,5539.305302419355,23.613649193548387
VIC1,2011,11,5559.2726041666665,26.5809375
VIC1,2011,12,5450.862110215054,22.179206989247312
VIC1,2012,1,5710.652560483871,24.037896505376345
VIC1,2012,2,5879.502076149425,25.843606321839083
VIC1,2012,3,5442.2914986559135,23.698877688172043
VIC1,2012,4,5388.643027777778,32.00789583333333
VIC1,2012,5,5887.904173387097,26.591344086021508
VIC1,2012,6,6035.952493055555,36.71865277777778
VIC1,2012,7,6002.951975806452,73.45959677419356
VIC1,2012,8,5888.398837365591,55.76297715053764
VIC1,2012,9,5467.593416666667,53.487270833333326
VIC1,2012,10,5453.032728494623,51.26229838709678
VIC1,2012,11,5469.344333333333,77.18249305555554
VIC1,2012,12,5266.809959677419,52.183998655913975
VIC1,2013,1,5519.754731182796,54.271948924731184
VIC1,2013,2,5838.155863095238,53.592648809523816
VIC1,2013,3,5679.360255376344,52.30824596774194
VIC1,2013,4,5309.237833333334,50.01020138888889
VIC1,2013,5,5663.070456989247,54.856323924731186
VIC1,2013,6,5851.550333333334,60.89626388888888
VIC1,2013,7,5810.85442876344,58.34188172043011
VIC1,2013,8,5627.397291666667,54.13485887096774
VIC1,2013,9,5236.558569444444,49.24811805555556
VIC1,2013,10,5245.920557795699,49.47418682795699
VIC1,2013,11,5225.173902777778,46.760868055555555
VIC1,2013,12,5152.091290322581,50.32663306451613
VIC1,2014,1,5656.929536290322,72.42431451612906
VIC1,2014,2,5690.248407738095,49.25392857142857
VIC1,2014,3,5326.053924731183,45.95807795698925
VIC1,2014,4,5176.844479166666,43.78161111111111
VIC1,2014,5,5442.121357526882,48.210073924731184
VIC1,2014,6,5643.773138888889,49.17225
VIC1,2014,7,5762.676384408602,38.60353494623656
VIC1,2014,8,5471.9761290322585,34.50346102150537
VIC1,2014,9,5070.623479166667,36.27190277777779
VIC1,2014,10,4951.77749327957,26.592452956989245
VIC1,2014,11,4871.576763888889,28.56240277777778
VIC1,2014,12,4846.579220430108,26.54762768817204
VIC1,2015,1,4833.57,20.39
